title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
a new adventure,takanashi yasuharu,117.45383522727272,-0.0106350530967013,0.082014254,0.031155803,0.061664203,3.164051108,0.186061863,0.20192282,0.743289144,1.315195245,0.269997808,0.221737645,0.037640711,0.302643377,0.024970254,0.041462451,0.005403181,0.091484023,0.002353976,0.020059556,0.031982548,0.619484686,0.254529052,0.189749546,0.03968876,0.30451588,0.003463873,0.026443884,1,6
a oh,super junior,129.19921875,-0.005782174978379,0.078038767,0.028662446,0.087948473,3.213385818,0.179458546,0.196233828,0.75045244,1.245056724,0.258492406,0.030995296,0.03381969,0.310651047,0.019869599,0.057432464,0.005405607,0.059461802,0.013171035,0.016081475,0.031599527,0.785050303,0.345785047,0.22528242,0.035336856,0.333456888,0.002661805,0.021355021,3,2
a thousand years,christina perri,92.28515625,-0.0163207458611544,0.044616518,0.018092254,0.052476749,3.217902815,0.122203104,0.1707026,0.313783921,2.265041589,0.114663783,-0.051465477,0.027845173,0.178202443,0.024609856,0.023756289,0.004883061,0.021081747,0.005285493,0.00749805,0.016750319,0.521221448,0.241592842,0.196299115,0.028887106,0.155286674,0.002793788,0.030024542,6,5
adore u,seventeen,103.359375,-0.0077445566646183,0.058125358,0.027801759,0.113696384,3.142737783,0.145659708,0.170424097,0.540594267,1.224648395,0.199584839,0.254200951,0.033234545,0.30703827,0.023113195,0.070609634,0.00585889,0.055812225,0.004606535,0.018485329,0.064444197,1.280267851,0.469696465,0.248864503,0.035615487,0.324714159,0.007247231,0.028047076,3,2
after rain,aimer,117.45383522727272,-0.010324108943978,0.068619817,0.026402409,0.083934211,3.211793949,0.147982109,0.169066325,0.558325367,1.322703982,0.115696491,0.237649723,0.032861834,0.285003027,0.021432207,0.051472941,0.009390302,0.025972701,0.008355967,0.014672858,0.06477559,1.005204211,0.362243116,0.220263567,0.033298164,0.300292103,0.005283351,0.025979269,2,5
ai no katachi,tachibana keita,103.359375,-0.0122162922063681,0.050714271,0.017489773,0.08501816,3.123391437,0.131373987,0.173750128,0.416060123,2.091354726,0.352659619,0.115380755,0.026907833,0.186631743,0.02345597,0.028120664,0.004049947,0.032207021,0.006214875,0.009174224,0.042038576,0.853797828,0.293759958,0.210947019,0.028536639,0.174297195,0.003985929,0.02887762,5,6
ai xiao de yan jing,jj lin,66.25600961538461,-0.0120039807700577,0.044449159,0.022891037,0.044167103,3.195244485,0.134735124,0.179834514,0.338964887,2.345224096,-0.144102692,-0.171503847,0.033896269,0.251515416,0.025301633,0.049736798,0.004904918,0.02579409,0.010900954,0.015646734,0.021750136,1.006228379,0.392647149,0.232135858,0.037312151,0.252692442,0.007761414,0.031604511,4,6
all my heart,super junior,95.703125,-0.018274428154324,0.064243684,0.036871555,0.119313049,3.176775082,0.16437727,0.195907587,0.540920909,1.787253073,0.097898247,0.192086405,0.040962417,0.389334534,0.021686156,0.078226971,0.004314373,0.046322176,0.012125814,0.021753928,0.090067035,0.989155915,0.43228749,0.243596894,0.04124302,0.36384961,0.006511381,0.026492675,2,5
"alliance force, assemble",takanashi yasuharu,95.703125,0.0077075138825947,0.060471969,0.02275905,0.04634756,3.165340835,0.14710631,0.179140299,0.476277319,1.941502736,0.154406855,0.181675217,0.034310603,0.221221897,0.022949914,0.031291696,0.003558775,0.04472603,0.006960915,0.010442861,0.025011829,0.856229974,0.243676154,0.196323425,0.030993917,0.214597835,0.00774374,0.02404587,1,6
alone,toshiro masuda,80.74951171875,-0.00677337668631,0.040618998,0.014947752,0.037799924,3.236986378,0.104726713,0.164765425,0.212048685,2.930908515,-0.083380805,0.168426245,0.029160744,0.13780166,0.03113454,0.013298942,0.01051686,0.015684855,0.00415083,0.006455491,0.012747481,0.864605384,0.32928349,0.210237957,0.032088856,0.113875428,0.011533156,0.03811556,4,6
am,one direction,143.5546875,-0.0114132067639699,0.054978849,0.036004544,0.076545823,3.219511249,0.129789004,0.161850356,0.401135738,2.112538742,-0.050120998,0.12709312,0.040712037,0.330439256,0.025850525,0.025274707,0.004599708,0.033501617,0.010200338,0.01168341,0.022498725,0.865988275,0.360121235,0.227774646,0.037624682,0.285943352,0.00635651,0.031892956,5,4
angela,super junior,107.666015625,-0.0011145003684199,0.076121785,0.034761747,0.073979146,3.183414607,0.174101005,0.196902253,0.65148839,1.349245058,0.286685458,0.322871019,0.0476903,0.335876204,0.02985194,0.056322794,0.003888947,0.044993023,0.007351708,0.015574169,0.039755567,0.830485393,0.343427198,0.215134054,0.047596625,0.330679702,0.004426322,0.031960838,2,6
"baby, don't cry",exo,69.83741554054055,-0.0111283205926404,0.053817028,0.031332104,0.093662552,3.185847253,0.136685873,0.175149262,0.364652578,1.879626673,-0.045312426,0.098614422,0.044040496,0.296277585,0.027337177,0.054541415,0.006710082,0.034711898,0.010131848,0.015466966,0.063529951,0.950754272,0.40141849,0.217162062,0.041123386,0.279645218,0.006486398,0.030903032,2,4
bad things,"camila cabello, machine gun kelly",135.99917763157896,0.0134760581891785,0.040123072,0.026633568,0.120715489,3.167989535,0.123837291,0.171431917,0.286469615,2.377090918,0.124113496,0.240538535,0.041967697,0.259130828,0.027622803,0.058082932,0.006730757,0.045419483,0.007012631,0.015363757,0.056451117,1.165685093,0.474590553,0.252190234,0.042366535,0.260280645,0.007183361,0.033173465,5,6
battleborne,two steps from hell,151.99908088235293,0.0070163011562548,0.03448433,0.006905068,0.022125056,3.235684492,0.095820519,0.143816111,0.181927143,2.198233592,-0.138194332,0.072707356,0.016267701,0.060041745,0.027185909,0.014216694,0.010776998,0.020201062,0.005732989,0.006951275,0.006007247,0.363994349,0.234851399,0.192810448,0.020012221,0.058411693,0.001779702,0.036057736,1,6
bboom bboom,momoland,123.046875,0.0117038786945983,0.098149356,0.051742237,0.092304955,3.142026135,0.215412466,0.206504394,0.888424073,1.642657342,0.117082563,-0.002932879,0.044299291,0.518711132,0.016470192,0.105779233,0.007106773,0.053210488,0.008982036,0.033305769,0.083389729,1.515072008,0.482015773,0.23825907,0.047649223,0.610791692,0.007456924,0.019172716,3,6
because i miss you,kyuhyun,73.828125,0.0233791552926723,0.044700971,0.027620886,0.054597166,3.180932626,0.144068309,0.196944431,0.261001027,2.772619589,-0.054512596,-0.104021948,0.042124421,0.242898174,0.027976383,0.03111828,0.007710967,0.028607816,0.008040202,0.011183755,0.030787252,0.784938085,0.316510466,0.214453638,0.041958122,0.229367416,0.006445603,0.032287535,6,4
