zcr_mean,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,spectral_flux_mean,spectral_rolloff_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_std_mean,delta zcr_mean,delta energy_mean,delta energy_entropy_mean,delta spectral_centroid_mean,delta spectral_spread_mean,delta spectral_entropy_mean,delta spectral_flux_mean,delta spectral_rolloff_mean,delta mfcc_1_mean,delta mfcc_2_mean,delta mfcc_3_mean,delta mfcc_4_mean,delta mfcc_5_mean,delta mfcc_6_mean,delta mfcc_7_mean,delta mfcc_8_mean,delta mfcc_9_mean,delta mfcc_10_mean,delta mfcc_11_mean,delta mfcc_12_mean,delta mfcc_13_mean,delta chroma_1_mean,delta chroma_2_mean,delta chroma_3_mean,delta chroma_4_mean,delta chroma_5_mean,delta chroma_6_mean,delta chroma_7_mean,delta chroma_8_mean,delta chroma_9_mean,delta chroma_10_mean,delta chroma_11_mean,delta chroma_12_mean,delta chroma_std_mean,zcr_std,energy_std,energy_entropy_std,spectral_centroid_std,spectral_spread_std,spectral_entropy_std,spectral_flux_std,spectral_rolloff_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,chroma_std_std,delta zcr_std,delta energy_std,delta energy_entropy_std,delta spectral_centroid_std,delta spectral_spread_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_rolloff_std,delta mfcc_1_std,delta mfcc_2_std,delta mfcc_3_std,delta mfcc_4_std,delta mfcc_5_std,delta mfcc_6_std,delta mfcc_7_std,delta mfcc_8_std,delta mfcc_9_std,delta mfcc_10_std,delta mfcc_11_std,delta mfcc_12_std,delta mfcc_13_std,delta chroma_1_std,delta chroma_2_std,delta chroma_3_std,delta chroma_4_std,delta chroma_5_std,delta chroma_6_std,delta chroma_7_std,delta chroma_8_std,delta chroma_9_std,delta chroma_10_std,delta chroma_11_std,delta chroma_12_std,delta chroma_std_std,song
0.082014254,0.061664203,3.164051108,0.186061863,0.20192282,0.743289144,0.004015833,0.13264195,-24.19328418,1.315195245,0.40286035,0.472320856,0.269997808,0.221737645,0.152420021,0.374078973,0.071180291,0.044110099,0.020437408,-0.040316208,0.065254496,0.009484274,0.004814134,0.129898404,0.005662081,0.021730173,0.004745154,0.051470159,0.00319732,0.00230118,0.006643399,0.030296872,0.001668555,0.04243227,3.38E-20,2.82E-20,-1.13E-19,2.25E-20,-1.13E-20,0,4.22E-21,2.25E-20,0,9.01E-20,2.25E-19,-2.08E-19,3.15E-19,-1.80E-19,1.35E-19,-2.25E-20,-1.80E-19,-7.89E-19,-4.96E-19,-1.35E-19,6.31E-19,1.27E-20,7.04E-21,9.01E-20,-2.18E-20,0,-1.41E-21,1.01E-19,7.74E-21,2.11E-21,4.93E-21,-1.01E-19,-3.52E-21,-8.45E-21,0.031155803,0.031620634,0.098519613,0.037640711,0.024970254,0.302643377,0.003052796,0.081709076,0.812941308,0.242433953,0.210726735,0.206213727,0.191808938,0.197069881,0.202082513,0.210013598,0.191725969,0.1993025,0.188237417,0.175050155,0.155758974,0.00839355,0.005271395,0.079890602,0.005165884,0.012698353,0.005511824,0.041462451,0.003460578,0.002131708,0.005419322,0.024480366,0.001666993,0.019279133,0.03260788,0.031982548,0.115971045,0.03968876,0.026443884,0.30451588,0.003463873,0.088941715,0.619484686,0.279590846,0.254529052,0.234584604,0.233200438,0.232334555,0.222305589,0.226773266,0.213588062,0.211327016,0.206699928,0.201095619,0.189749546,0.01032447,0.005403181,0.091484023,0.005513935,0.014898317,0.006219298,0.053885231,0.003912853,0.002353976,0.006003791,0.03134006,0.001887894,0.020059556,a new adventure - takanashi yasuharu
0.078038767,0.087948473,3.213385818,0.179458546,0.196233828,0.75045244,0.003917432,0.128784184,-22.24999699,1.245056724,0.080570734,0.280826381,0.258492406,0.030995296,-0.083535917,-0.129845058,0.020556251,0.09381839,0.073353725,-0.003777249,-0.032650319,0.011474953,0.004210622,0.066637036,0.009360071,0.010949436,0.005819584,0.063610297,0.002914184,0.010630907,0.01244876,0.030966999,0.003421474,0.032718171,-9.51E-06,-3.15E-12,4.16E-06,2.33E-05,6.41E-05,-2.98E-05,1.61E-05,-5.31E-06,0.009230346,-2.98E-05,-2.38E-05,-9.33E-05,0.000195444,5.14E-05,4.45E-05,1.90E-06,0.000100043,4.72E-05,-5.33E-05,9.31E-05,6.15E-05,-6.01E-07,-6.36E-07,-2.02E-07,-1.74E-07,7.12E-06,-3.47E-07,-2.05E-06,-1.31E-07,-9.27E-07,-7.08E-08,-1.78E-07,-1.64E-07,2.07E-06,0.028662446,0.029285679,0.097435996,0.03381969,0.019869599,0.310651047,0.002213925,0.06576682,0.818559546,0.365136714,0.362176781,0.299163009,0.261092204,0.243453647,0.233715389,0.229642391,0.240087248,0.226283431,0.229769713,0.226132627,0.191522979,0.010586694,0.004453645,0.053079931,0.009943529,0.008514265,0.006036907,0.057432464,0.00410861,0.011097871,0.011948068,0.025162441,0.003459693,0.015621986,0.030343017,0.031599527,0.13647418,0.035336856,0.021355021,0.333456888,0.002661805,0.07348971,0.785050303,0.367610711,0.345785047,0.316381243,0.273268323,0.26601206,0.252212729,0.246592158,0.258491873,0.258334829,0.245383962,0.248151362,0.22528242,0.012275423,0.005405607,0.059461802,0.011864976,0.009255963,0.007407256,0.061640175,0.005371426,0.013171035,0.014533464,0.026054327,0.003866799,0.016081475,a oh - super junior
0.044616518,0.052476749,3.217902815,0.122203104,0.1707026,0.313783921,0.003351588,0.061078155,-23.03653507,2.265041589,0.074268935,0.330183488,0.114663783,-0.051465477,-0.107474959,0.095532804,-0.107624705,-0.040923215,0.035975878,0.035064181,-0.012881086,0.015792854,0.005544484,0.039062469,0.027236757,0.023632033,0.01211315,0.045483243,0.00106279,0.006635508,0.01339869,0.053009007,0.003526369,0.032341302,6.41E-07,5.97E-08,-5.40E-06,1.73E-05,3.62E-05,1.43E-06,2.99E-07,6.41E-07,0.011550111,0.000521141,7.41E-05,0.000102884,9.68E-05,0.000108171,6.09E-05,2.80E-05,-1.37E-07,-1.12E-05,-1.42E-05,9.26E-06,9.70E-06,6.80E-08,7.49E-09,8.63E-07,2.37E-07,-2.92E-05,5.30E-08,1.90E-06,5.51E-09,7.23E-09,1.33E-06,5.41E-05,1.46E-08,6.70E-06,0.018092254,0.016532759,0.070348695,0.027845173,0.024609856,0.178202443,0.002209272,0.037184419,0.636151075,0.309376537,0.262139479,0.250865296,0.209990881,0.221936122,0.206521203,0.206122434,0.215499873,0.207082869,0.213561296,0.197225654,0.184125593,0.011731954,0.00460017,0.021198985,0.018897648,0.016232358,0.009375846,0.023756289,0.00127867,0.005152831,0.01089727,0.019352677,0.002986271,0.008340072,0.017222773,0.016750319,0.089091186,0.028887106,0.030024542,0.155286674,0.002793788,0.036321657,0.521221448,0.262270001,0.241592842,0.236651073,0.21772333,0.2199098,0.209976613,0.201525977,0.208944635,0.209929053,0.199924531,0.194800147,0.196299115,0.010516915,0.004883061,0.021081747,0.017381107,0.014182103,0.009949063,0.022761744,0.001656187,0.005285493,0.012485122,0.016931298,0.002701663,0.00749805,a thousand years - christina perri
0.058125358,0.113696384,3.142737783,0.145659708,0.170424097,0.540594267,0.007013623,0.089934926,-22.86550033,1.224648395,0.358358685,0.429951091,0.199584839,0.254200951,0.079049386,0.149949855,0.063154281,0.110987205,0.008225013,0.061858218,0.076981836,0.010379103,0.003860105,0.051480939,0.006656949,0.017434574,0.007062339,0.096899613,0.002114719,0.003155405,0.008658862,0.053579865,0.003040185,0.040107036,-4.64E-21,2.32E-20,2.37E-19,-1.86E-20,1.86E-20,2.97E-19,-2.90E-20,-1.30E-19,-7.12E-18,4.08E-19,0,1.86E-19,-5.19E-19,-5.01E-19,2.04E-19,3.71E-19,3.90E-19,4.08E-19,-2.78E-20,1.30E-19,-1.35E-19,3.59E-20,-1.39E-20,-2.78E-20,3.88E-20,2.78E-20,4.06E-21,7.07E-20,-1.01E-20,1.28E-20,1.30E-20,7.83E-20,5.51E-21,-2.90E-20,0.027801759,0.056397288,0.144480118,0.033234545,0.023113195,0.30703827,0.005822956,0.060233773,1.294709687,0.53341115,0.472667117,0.399963418,0.315056605,0.281947491,0.266234368,0.258646709,0.273387382,0.267397717,0.245236673,0.242215903,0.223182481,0.011850691,0.005498609,0.042931307,0.008112715,0.014630555,0.008463378,0.070609634,0.003118347,0.003738359,0.009904029,0.042740214,0.00424466,0.016496326,0.029746315,0.064444197,0.190262409,0.035615487,0.028047076,0.324714159,0.007247231,0.065385189,1.280267851,0.547576698,0.469696465,0.409321528,0.357980658,0.306878618,0.297742015,0.291340788,0.299632551,0.301960814,0.271902153,0.261702347,0.248864503,0.014100096,0.00585889,0.055812225,0.009794065,0.016707201,0.010290893,0.073798144,0.00383424,0.004606535,0.011579806,0.04453445,0.005407123,0.018485329,adore u - seventeen
0.068619817,0.083934211,3.211793949,0.147982109,0.169066325,0.558325367,0.004960381,0.105756684,-24.63032603,1.322703982,0.578137971,0.331041403,0.115696491,0.237649723,-0.00067058,0.187613408,0.048663025,-0.158747159,-0.089970574,0.07467768,-0.030141702,0.012382477,0.007244171,0.035872619,0.012558871,0.02036058,0.010075644,0.044897002,0.001166301,0.007361393,0.020488696,0.040604435,0.001860333,0.028157684,-4.41E-06,-3.68E-11,3.21E-06,-4.15E-05,-4.58E-05,-3.27E-05,6.48E-21,-1.28E-06,-0.009810452,-0.000466199,-6.88E-05,-3.22E-05,-9.04E-05,-9.56E-05,-4.98E-05,-3.29E-05,-2.47E-05,6.94E-06,2.99E-05,2.30E-05,5.30E-05,-7.33E-07,-2.92E-08,-3.45E-07,-2.37E-07,-5.35E-07,-1.44E-07,2.57E-05,-2.76E-07,-1.79E-08,-3.51E-05,-1.42E-06,-7.91E-08,-1.72E-06,0.026402409,0.051876426,0.093846913,0.032861834,0.021432207,0.285003027,0.003788575,0.059195858,0.969496151,0.375547887,0.399753391,0.332188989,0.291426872,0.258229018,0.255403752,0.258917557,0.250671862,0.259552682,0.237525955,0.221182031,0.208643749,0.01317443,0.008242953,0.024800356,0.011446758,0.016105364,0.01130716,0.051472941,0.001699655,0.008327884,0.024266008,0.027584537,0.002578696,0.011828961,0.028679449,0.06477559,0.117156607,0.033298164,0.025979269,0.300292103,0.005283351,0.066876558,1.005204211,0.378321381,0.362243116,0.330188572,0.293045144,0.274713081,0.275721761,0.259327477,0.253472768,0.261790443,0.244973535,0.2297386,0.220263567,0.014974662,0.009390302,0.025972701,0.012466504,0.018193447,0.011925797,0.06232882,0.002194124,0.008355967,0.026241322,0.036721667,0.002944561,0.014672858,after rain - aimer
0.050714271,0.08501816,3.123391437,0.131373987,0.173750128,0.416060123,0.004640874,0.065840725,-22.98866092,2.091354726,0.402982828,0.2721354,0.352659619,0.115380755,-0.025883154,0.091609352,-0.134486336,-0.085768406,-0.037874599,0.035478909,-0.024368275,0.032881897,0.002867166,0.048504707,0.014619998,0.031071454,0.009598078,0.041825492,0.002147428,0.004299767,0.014615711,0.038823615,0.002894772,0.027855982,-2.88E-21,-8.43E-15,9.91E-09,-1.56E-05,-2.96E-05,-3.21E-07,-1.19E-05,-2.31E-20,-0.004862654,-1.34E-05,-4.18E-05,-4.65E-05,-6.56E-05,-4.41E-05,-5.38E-05,-4.47E-05,-3.15E-05,7.01E-05,3.68E-05,8.37E-06,4.56E-06,-5.55E-11,-3.61E-11,-3.77E-10,-2.69E-11,3.77E-09,-1.99E-11,-6.54E-10,-1.36E-11,-2.69E-11,-5.85E-11,-1.08E-10,-3.73E-11,1.08E-09,0.017489773,0.036738322,0.138343873,0.026907833,0.02345597,0.186631743,0.003168653,0.036767486,0.884018316,0.349569846,0.318764678,0.272946448,0.242181085,0.2333432,0.240162261,0.219486416,0.225412079,0.216671168,0.211689098,0.207102007,0.188980364,0.025962843,0.003343065,0.029537619,0.014163746,0.020851868,0.009666753,0.028120664,0.003376114,0.005005586,0.011118648,0.024179598,0.003142479,0.008043067,0.017369387,0.042038576,0.177788963,0.028536639,0.02887762,0.174297195,0.003985929,0.037998176,0.853797828,0.33506577,0.293759958,0.28460386,0.271491789,0.249069351,0.251531277,0.241413545,0.23525248,0.228198683,0.227568569,0.223500797,0.210947019,0.027667738,0.004049947,0.032207021,0.015190941,0.022941403,0.010938837,0.030556521,0.004292564,0.006214875,0.01216986,0.025705693,0.003653327,0.009174224,ai no katachi - tachibana keita
0.044449159,0.044167103,3.195244485,0.134735124,0.179834514,0.338964887,0.007225585,0.057657407,-25.41305414,2.345224096,0.01656834,-0.258682237,-0.144102692,-0.171503847,-0.02707388,-0.004248373,-0.052443729,0.010546752,0.030141997,0.074793709,0.001281078,0.034405935,0.003223766,0.029639401,0.007908215,0.017829942,0.026662288,0.068054615,0.002226086,0.007228167,0.012208553,0.020962704,0.006934771,0.036230755,-3.18E-20,-6.15E-13,0.000278153,-9.53E-05,-0.000117851,-2.02E-05,-1.76E-05,-3.31E-07,-0.018619177,-0.000604413,-2.05E-05,-0.000104076,-7.86E-05,-4.09E-05,-6.28E-05,-1.79E-05,-7.66E-05,-2.97E-05,-1.55E-05,5.32E-05,4.37E-05,-1.80E-07,-2.98E-08,-6.97E-06,-1.17E-07,-2.78E-07,-6.92E-08,-9.40E-06,-1.32E-08,-5.14E-08,-1.85E-07,-5.36E-07,-3.11E-08,-2.54E-06,0.022891037,0.022560611,0.124605497,0.033896269,0.025301633,0.251515416,0.00604881,0.048680893,1.14648036,0.497497568,0.451906326,0.367905024,0.296700037,0.29247853,0.27095403,0.297210603,0.294967848,0.290408332,0.281102782,0.241744982,0.23194111,0.026996315,0.003958369,0.023272178,0.009910321,0.019334792,0.026295513,0.049736798,0.004414559,0.009452718,0.012490074,0.015790263,0.008289762,0.014769943,0.023140971,0.021750136,0.163206372,0.037312151,0.031604511,0.252692442,0.007761414,0.052253831,1.006228379,0.495854302,0.392647149,0.351591037,0.309607186,0.289886297,0.280035729,0.285689268,0.267200179,0.264139245,0.265286801,0.247248435,0.232135858,0.024146937,0.004904918,0.02579409,0.01141503,0.023384107,0.026967801,0.051190913,0.005425562,0.010900954,0.01292242,0.017287842,0.00917298,0.015646734,ai xiao de yan jing - jj lin
0.064243684,0.119313049,3.176775082,0.16437727,0.195907587,0.540920909,0.007536118,0.093315927,-22.28729604,1.787253073,0.140705396,0.167522101,0.097898247,0.192086405,-0.070925412,-0.049972072,-0.016326331,-0.035525209,0.022715114,0.092201467,0.088243444,0.011528479,0.003044829,0.047751769,0.010792952,0.027811112,0.011959157,0.075304368,0.002494403,0.007582064,0.009611815,0.038347447,0.004508958,0.035083702,-6.53E-07,-5.82E-12,7.58E-07,8.32E-06,1.37E-06,2.29E-06,2.29E-07,-3.38E-07,-0.000338364,-8.39E-05,-1.65E-05,-6.48E-05,-3.33E-05,-3.54E-05,-1.25E-05,4.08E-05,0.000107548,2.51E-06,-1.65E-05,3.85E-05,1.60E-05,-5.39E-09,-2.11E-09,-1.10E-08,-2.54E-08,2.72E-07,-5.96E-08,-1.59E-07,-2.13E-08,-9.17E-08,-6.71E-09,-9.37E-09,-8.08E-09,8.43E-08,0.036871555,0.085781672,0.127022353,0.040962417,0.021686156,0.389334534,0.00623169,0.078480346,0.990473805,0.640322883,0.425603027,0.349791953,0.279838676,0.285628905,0.275220787,0.265072732,0.247103349,0.257810221,0.254415981,0.226446727,0.211216893,0.011907057,0.003653781,0.041752672,0.01266373,0.024282331,0.014285621,0.078226971,0.003856665,0.010248191,0.010760037,0.035101657,0.00550227,0.019635942,0.035566515,0.090067035,0.17987724,0.04124302,0.026492675,0.36384961,0.006511381,0.078132912,0.989155915,0.613049947,0.43228749,0.393819367,0.33070179,0.307590881,0.300904557,0.285980758,0.270934499,0.262232502,0.261342754,0.250384169,0.243596894,0.013755266,0.004314373,0.046322176,0.015187653,0.023742838,0.017483787,0.092277401,0.005037162,0.012125814,0.013478627,0.04416125,0.006234182,0.021753928,all my heart - super junior
0.060471969,0.04634756,3.165340835,0.14710631,0.179140299,0.476277319,0.004484835,0.087588999,-25.56771686,1.941502736,0.269779022,0.351763731,0.154406855,0.181675217,-0.031257253,0.094651016,0.117430229,0.011251292,0.045329811,-0.008011906,0.066395162,0.018462764,0.003442031,0.056119283,0.012878433,0.031944289,0.008666744,0.041133538,0.001918357,0.006824929,0.020884964,0.034216285,0.005634449,0.026857746,5.72E-20,-5.89E-21,-5.72E-20,0,3.81E-20,-2.29E-19,-1.29E-20,0,4.88E-18,3.05E-19,-1.53E-19,3.81E-19,-6.20E-20,-1.81E-19,2.86E-19,-3.10E-20,-2.86E-19,-3.24E-19,-4.96E-19,0,3.43E-19,-4.54E-20,-9.68E-22,-1.33E-19,-4.05E-20,-1.33E-19,-1.62E-20,-1.91E-20,4.69E-21,-2.38E-20,2.62E-20,-7.98E-20,1.02E-20,-2.62E-20,0.02275905,0.026594196,0.111808616,0.034310603,0.022949914,0.221221897,0.005623037,0.052369141,1.414164071,0.316008827,0.228680069,0.222408977,0.218916559,0.208841454,0.200766832,0.202607771,0.191008081,0.198488888,0.181519283,0.174265396,0.167921628,0.014526444,0.003447026,0.040688048,0.010410744,0.018540008,0.006521997,0.031291696,0.00183719,0.006851722,0.015992711,0.023261107,0.005500171,0.009444593,0.021175279,0.025011829,0.14082058,0.030993917,0.02404587,0.214597835,0.00774374,0.049503985,0.856229974,0.27369652,0.243676154,0.232040493,0.233793022,0.235909636,0.218422466,0.218322812,0.211930619,0.21744872,0.200981461,0.204462604,0.196323425,0.015929318,0.003558775,0.04472603,0.01032677,0.017676015,0.007202926,0.034394216,0.002106951,0.006960915,0.015888929,0.027420227,0.005391579,0.010442861,"alliance force, assemble - takanashi yasuharu"
0.040618998,0.037799924,3.236986378,0.104726713,0.164765425,0.212048685,0.005580396,0.056812856,-27.0397221,2.930908515,0.055029915,0.00594521,-0.083380805,0.168426245,-0.279936285,0.254496065,0.088026385,-0.194113403,-0.090005703,-0.03902638,-0.144733928,0.032614705,0.013869646,0.033631681,0.011966311,0.023836208,0.008517758,0.017382848,0.001506689,0.005021608,0.018323032,0.031773542,0.008392786,0.027008482,0,-1.35E-20,-2.32E-20,3.37E-20,-6.74E-20,0,-5.52E-20,-6.74E-20,-4.31E-18,7.41E-19,1.79E-18,7.75E-19,3.87E-19,-8.42E-20,-1.18E-19,-2.95E-19,5.59E-19,1.68E-20,-7.48E-19,4.04E-19,1.68E-19,9.74E-21,-5.39E-21,-3.47E-20,-7.46E-20,-3.37E-20,2.84E-20,-7.58E-20,7.30E-21,9.21E-21,5.68E-20,-2.68E-20,4.72E-20,2.11E-21,0.014947752,0.014178283,0.065710245,0.029160744,0.03113454,0.13780166,0.00841411,0.028758749,1.294398321,0.476452991,0.330722609,0.319402547,0.28891918,0.290552887,0.274632175,0.250852296,0.247480276,0.250200227,0.251212752,0.224408383,0.20220542,0.018317,0.012696535,0.018308083,0.012381136,0.014594127,0.00675975,0.013298942,0.001693655,0.004939844,0.018236449,0.0207257,0.009113048,0.00739598,0.012350167,0.012747481,0.079899584,0.032088856,0.03811556,0.113875428,0.011533156,0.024115524,0.864605384,0.453297127,0.32928349,0.331227434,0.279559155,0.299728758,0.288931317,0.257539146,0.25513486,0.245766523,0.232346935,0.220292287,0.210237957,0.014070646,0.01051686,0.015684855,0.010364445,0.011282666,0.006346706,0.009461769,0.001840235,0.00415083,0.019331545,0.015587267,0.00570033,0.006455491,alone - toshiro masuda
